51.065625647799, 3.6377327012579, 1425307405000,1425317348000,53
51.064069837121, 3.6349025492424, 1425317403000,1425319400000,44
51.06567262987, 3.6377464350649, 1425319460000,1425359961000,77
51.065662621069, 3.6376377295597, 1425397339000,1425406369000,106
51.073087967391, 3.6278685978261, 1425448775000,1425450661000,46
51.064350713333, 3.6371627966667, 1425450896000,1425451244000,50
51.065686978261, 3.637719736715, 1425451269000,1425532055000,69
51.057018189922, 3.6600455542636, 1425565960000,1425566933000,43
51.065668544872, 3.6378100064103, 1425567320000,1425618151000,26
51.065639644928, 3.6377563731884, 1425652502000,1425783660000,46
